S.NO,Degree,Domain,Skill1,Skill2,Skill3,Certification,JobRole,Experience,Age,Location,Education_Level,University_Tier
1,B.Com,Finance,PowerBI,Financial Modeling,Leadership,CFA,Financial Analyst,3,22,Australia,Bachelor,Tier 2
4,B.Des,Design,Figma,UI/UX,Communication,,UI/UX Designer,0,25,USA,Master,Tier 3
6,MBA,Finance,Financial Modeling,Data Analysis,Excel,,Financial Analyst,0,22,Australia,Bachelor,Tier 2
11,MBA,Data Science,PowerBI,Data Analysis,Research,,Data Analyst,7,28,India,Master,Tier 3
14,B.Com,Marketing,Excel,Marketing,Communication,,Marketing Specialist,2,26,Australia,Bachelor,Tier 3
16,MBA,Sales,CRM,Negotiation,Communication,,Sales Manager,7,29,Remote,Master,Tier 1
18,MBA,Business,CRM,Negotiation,Data Analysis,,Business Development Manager,10,29,Australia,Bachelor,Tier 3
20,B.Tech,Civil,Surveying,Excel,Research,,Civil Engineer,8,31,Canada,Bachelor,Tier 2
21,MBA,Business,Excel,CRM,Communication,,Business Development Manager,4,27,Germany,Diploma,Tier 1
23,B.Tech,Electrical,TCP/IP,Networking,Data Analysis,CCNA,Network Engineer,2,25,Germany,Bachelor,Tier 2
25,MBA,Design,UI/UX,Graphic Design,Project Management,,UI/UX Designer,3,27,Canada,Master,Tier 3
27,Ph.D,Data Science,SQL,Machine Learning,Data Analysis,Google Cloud,Machine Learning Engineer,8,33,Remote,Bachelor,Tier 3
28,B.Tech,Civil,Project Management,Design,Data Analysis,,Civil Engineer,9,33,Canada,Bachelor,Tier 2
30,M.Tech,Electrical,MATLAB,PLC,Excel,,Electrical Engineer,11,30,USA,Diploma,Tier 3
32,B.Com,Data Science,Python,SQL,Data Analysis,Google Cloud,Data Analyst,4,24,Australia,Bachelor,Tier 2
34,B.Des,Design,Prototyping,UI/UX,Data Analysis,,UI/UX Designer,6,28,Germany,PhD,Tier 2
35,M.Tech,Civil,Surveying,Construction,HTML/CSS,,Civil Engineer,14,36,Germany,Bachelor,Tier 2
37,BBA,Marketing,SEO,Social Media,HTML/CSS,Google Cloud,Marketing Specialist,0,21,Australia,Master,Tier 2
41,MBA,Media,Content Strategy,Communication,SQL,,Content Writer,3,22,Australia,Bachelor,Tier 2
43,B.Tech,Mechanical,CAD,Thermodynamics,Excel,,Mechanical Engineer,3,22,Germany,Master,Tier 3
44,M.Tech,Data Science,Statistics,Machine Learning,Excel,AWS,Data Scientist,3,23,USA,Bachelor,Tier 2
52,B.Tech,Civil,Construction,Project Management,Leadership,,Civil Engineer,1,26,UK,Diploma,Tier 2
54,M.Tech,Civil,Project Management,Construction,Research,,Civil Engineer,2,27,Remote,Bachelor,Tier 1
56,B.Tech,Operations,Excel,Supply Chain,HTML/CSS,,Supply Chain Manager,10,30,USA,Master,Tier 2
57,B.Com,Business,Excel,UML,Leadership,,Business Analyst,8,31,USA,Master,Tier 2
59,B.Com,Data Science,Python,PowerBI,SQL,,Data Analyst,3,22,Canada,Bachelor,Tier 2
63,BBA,Sales,Negotiation,Excel,Python,,Sales Manager,4,25,UK,Master,Tier 3
66,M.Tech,Civil,Surveying,Construction,Excel,,Civil Engineer,0,23,Remote,Bachelor,Tier 3
67,B.Tech,Data Science,PowerBI,SQL,Python,,Data Analyst,5,30,Canada,Master,Tier 2
68,MBA,Business,Sales,Excel,Research,,Business Development Manager,3,22,Australia,PhD,Tier 2
70,MBA,Business,UML,Excel,Data Analysis,PMP,Business Analyst,9,30,Remote,PhD,Tier 1
71,MBA,Media,Writing,Content Strategy,Communication,,Content Writer,11,29,Australia,Bachelor,Tier 1
74,B.Com,Business,Communication,Data Analysis,SQL,,Business Analyst,10,32,Remote,Master,Tier 3
75,B.Tech,Business,Communication,Stakeholder Mgmt,Leadership,,Business Analyst,7,28,USA,Master,Tier 1
76,M.Tech,Civil,Excel,Surveying,HTML/CSS,,Civil Engineer,1,24,USA,Bachelor,Tier 3
79,M.Tech,Mechanical,Design,CAD,Excel,,Mechanical Engineer,8,30,Australia,Bachelor,Tier 2
85,MBA,Sales,Negotiation,CRM,Excel,,Sales Manager,10,35,UK,Master,Tier 1
88,B.Com,Business,UML,SQL,Python,,Business Analyst,12,37,Australia,PhD,Tier 2
89,Ph.D,Biotech,PCR,Research,Python,,Biotech Researcher,9,31,Canada,Master,Tier 2
90,MBA,Operations,Excel,Supply Chain,Project Management,,Operations Manager,6,30,Remote,Bachelor,Tier 2
97,M.Tech,Chemical,Safety,Process Design,Excel,,Chemical Engineer,15,34,USA,Bachelor,Tier 2
104,M.Tech,Civil,Surveying,Excel,Python,,Civil Engineer,8,33,Germany,Master,Tier 2
107,M.Tech,Data Science,Python,Hadoop,Excel,AWS,Data Engineer,6,25,Germany,Bachelor,Tier 2
109,Ph.D,Biotech,Documentation,Data Analysis,Python,,Biotech Researcher,0,25,Germany,Bachelor,Tier 3
117,MBA,Operations,Operations,ERP,Research,,Operations Manager,12,31,Remote,PhD,Tier 2
121,BBA,HR,Payroll,Excel,Communication,,HR Manager,4,24,USA,Bachelor,Tier 1
122,M.Tech,Security,Python,Network,Data Analysis,,Security Analyst,6,31,Australia,Bachelor,Tier 2
123,MBA,Operations,Supply Chain,ERP,Excel,,Supply Chain Manager,3,28,Remote,Bachelor,Tier 2
124,BBA,Sales,Excel,Strategy,Python,,Sales Manager,0,23,Canada,Master,Tier 3
125,M.Tech,Management,Project Management,Risk Mgmt,SQL,PMP,Project Manager,12,30,India,Bachelor,Tier 3
126,M.Tech,Electrical,Networking,TCP/IP,Excel,CCNA,Network Engineer,7,25,Australia,Master,Tier 3
127,MBA,Management,Excel,Project Management,Leadership,Scrum,Project Manager,3,28,Canada,Master,Tier 2
129,M.Sc,Biotech,Biology,PCR,Excel,,Biotech Researcher,0,24,Remote,Bachelor,Tier 2
130,B.Tech,Computer Science,Cloud,AWS,Project Management,Google Cloud,Cloud Engineer,11,36,Remote,Bachelor,Tier 1
135,M.Tech,Civil,Construction,AutoCAD,SQL,,Civil Engineer,12,32,India,Bachelor,Tier 2
139,Ph.D,Data Science,SQL,Python,Communication,Google Cloud,Data Scientist,15,38,Australia,Bachelor,Tier 3
140,M.Tech,Electrical,Design,PLC,Excel,,Electrical Engineer,2,24,USA,Bachelor,Tier 2
147,MBA,Media,Content Strategy,Editing,Python,,Content Writer,1,21,Canada,Bachelor,Tier 3
151,BBA,Sales,Negotiation,Communication,Excel,,Sales Manager,1,22,USA,Master,Tier 3
152,BBA,Sales,Leadership,Excel,Research,,Sales Manager,2,23,India,Bachelor,Tier 2
154,M.Tech,Mechanical,CAD,Thermodynamics,SQL,,Mechanical Engineer,13,31,Canada,Master,Tier 2
160,B.Tech,Security,Security,Linux,SQL,,Security Analyst,6,30,India,Bachelor,Tier 2
162,B.Tech,Security,Network,Linux,Communication,CCNA,Security Analyst,9,32,India,Bachelor,Tier 2
163,B.Tech,Operations,Operations,Excel,Communication,,Operations Manager,12,31,Canada,Bachelor,Tier 2
168,Ph.D,Biotech,Biology,Lab Techniques,Project Management,,Biotech Researcher,13,37,Remote,Bachelor,Tier 1
173,BBA,HR,Recruitment,Communication,Excel,,HR Manager,0,25,Germany,Bachelor,Tier 1
177,B.Sc,Data Science,SQL,Python,Project Management,,Data Analyst,7,26,UK,Bachelor,Tier 2
178,M.Sc,Biotech,Lab Techniques,Data Analysis,Excel,,Biotech Researcher,2,23,Remote,PhD,Tier 2
180,BBA,Sales,Communication,CRM,Python,,Sales Manager,9,33,Australia,Bachelor,Tier 3
183,MBA,Marketing,SEO,Marketing,Leadership,Google Cloud,Marketing Specialist,13,32,Remote,Bachelor,Tier 3
192,B.Com,Business,UML,SQL,Python,PMP,Business Analyst,4,23,Germany,Master,Tier 2
193,M.Tech,Security,Security,Python,Project Management,,Security Analyst,12,37,India,Master,Tier 3
194,MBA,Business,Stakeholder Mgmt,Excel,HTML/CSS,,Business Analyst,12,32,Australia,Master,Tier 3
195,B.Tech,Civil,AutoCAD,Excel,Research,,Civil Engineer,1,25,India,Bachelor,Tier 2
197,MCA,Computer Science,Docker,Cloud,HTML/CSS,AWS,Cloud Engineer,3,25,USA,Master,Tier 3
202,M.Tech,Electrical,Proteus,MATLAB,Data Analysis,,Electrical Engineer,8,32,UK,Master,Tier 3
205,B.Tech,Chemical,Chemistry,MATLAB,HTML/CSS,,Chemical Engineer,8,32,Remote,Bachelor,Tier 3
209,B.Tech,Mechanical,Thermodynamics,Project Mgmt,Research,,Mechanical Engineer,1,25,Australia,Bachelor,Tier 3
214,BBA,Business,Negotiation,Strategy,Research,,Business Development Manager,2,24,UK,Master,Tier 1
216,B.Tech,Civil,AutoCAD,Excel,Data Analysis,,Civil Engineer,8,27,UK,PhD,Tier 3
219,MBA,Operations,Operations,ERP,Data Analysis,,Operations Manager,12,35,UK,Diploma,Tier 2
220,MBA,Data Science,Data Analysis,Python,SQL,,Data Analyst,8,33,India,Bachelor,Tier 2
221,MBA,Operations,Analytics,Supply Chain,Python,,Supply Chain Manager,8,31,Remote,Master,Tier 2
223,B.Tech,Civil,Design,Project Management,Excel,,Civil Engineer,10,35,USA,Master,Tier 2
225,B.Tech,Chemical,Excel,Process Design,Leadership,,Chemical Engineer,1,21,UK,PhD,Tier 1
226,M.Tech,Security,Security,Network,Leadership,CCNA,Security Analyst,7,32,USA,Bachelor,Tier 2
233,BBA,Marketing,Analytics,Communication,Data Analysis,,Marketing Specialist,0,21,Remote,Bachelor,Tier 3
235,M.Tech,Security,Linux,Python,Research,CCNA,Security Analyst,6,27,UK,Master,Tier 3
238,B.Com,Data Science,SQL,Excel,Leadership,Google Cloud,Data Analyst,0,23,Remote,Master,Tier 2
240,B.Tech,Electrical,Proteus,MATLAB,Leadership,,Electrical Engineer,3,27,India,Bachelor,Tier 3
246,M.Sc,Data Science,Statistics,Pandas,Excel,Google Cloud,Data Scientist,10,32,Canada,Bachelor,Tier 2
249,MBA,Business,Data Analysis,Stakeholder Mgmt,Research,PMP,Business Analyst,14,34,Germany,Master,Tier 2
253,B.Tech,Chemical,Simulation,Process Design,Leadership,,Chemical Engineer,1,25,Canada,Bachelor,Tier 2
255,B.Tech,Security,Incident Response,Python,Leadership,,Security Analyst,1,23,Canada,Bachelor,Tier 1
256,B.Tech,Operations,Supply Chain,Analytics,Communication,,Operations Manager,6,26,Australia,Bachelor,Tier 3
259,M.Tech,Security,Linux,Incident Response,Leadership,,Security Analyst,0,25,Australia,Master,Tier 2
263,M.Tech,Chemical,Chemistry,Safety,Python,,Chemical Engineer,2,27,Canada,Bachelor,Tier 2
266,MBA,Marketing,Communication,Excel,SQL,,Marketing Specialist,2,24,Germany,Master,Tier 2
267,B.Tech,Civil,Construction,Design,HTML/CSS,,Civil Engineer,14,34,UK,Bachelor,Tier 2
270,M.Sc,Data Science,Statistics,Machine Learning,Project Management,Google Cloud,Data Scientist,1,21,USA,Bachelor,Tier 2
272,Ph.D,Biotech,Research,Data Analysis,Excel,,Biotech Researcher,15,39,Germany,Bachelor,Tier 2
273,M.Tech,Chemical,Chemistry,Simulation,Communication,,Chemical Engineer,7,32,Canada,Master,Tier 3
274,M.Tech,Mechanical,Thermodynamics,Design,Data Analysis,,Mechanical Engineer,2,25,Remote,Master,Tier 2
276,MBA,Sales,Strategy,Communication,Data Analysis,,Sales Manager,12,37,Germany,Bachelor,Tier 2
277,B.Tech,Operations,ERP,Analytics,Leadership,,Operations Manager,10,28,Remote,PhD,Tier 2
281,BBA,HR,Communication,Leadership,SQL,,HR Manager,3,26,Canada,Bachelor,Tier 3
283,B.Tech,Electrical,Proteus,Design,HTML/CSS,,Electrical Engineer,8,28,USA,Master,Tier 3
284,MBA,Business,Sales,Communication,Project Management,,Business Development Manager,2,23,Remote,Master,Tier 2
285,M.Tech,Chemical,Chemistry,Process Design,SQL,,Chemical Engineer,14,38,Canada,Master,Tier 3
287,MBA,Management,Communication,Project Management,SQL,Scrum,Project Manager,9,29,Canada,Diploma,Tier 2
290,M.Tech,Security,Security,Linux,HTML/CSS,,Security Analyst,12,34,Canada,Bachelor,Tier 3
291,MBA,Marketing,Communication,Analytics,Project Management,Google Cloud,Marketing Specialist,1,24,Remote,Bachelor,Tier 1
292,BBA,HR,Labor Laws,Excel,HTML/CSS,,HR Manager,15,36,USA,PhD,Tier 2
294,M.Sc,Data Science,Machine Learning,Python,SQL,,Machine Learning Engineer,14,35,Canada,Bachelor,Tier 1
297,B.Tech,Operations,Leadership,ERP,HTML/CSS,,Operations Manager,12,31,UK,Master,Tier 2
299,MCA,Data Science,Data Analysis,SQL,Python,,Data Scientist,11,30,Australia,Master,Tier 2
300,B.Tech,Operations,Leadership,Supply Chain,Research,,Operations Manager,2,24,Canada,Bachelor,Tier 3
301,MBA,HR,Labor Laws,Payroll,SQL,,HR Manager,4,28,Australia,Master,Tier 3
302,M.Tech,Data Science,Data Analysis,SQL,HTML/CSS,Google Cloud,Data Scientist,2,27,Australia,Bachelor,Tier 2
306,B.Com,Marketing,Communication,Marketing,HTML/CSS,Google Cloud,Marketing Specialist,1,26,UK,Master,Tier 2
312,B.Tech,Civil,Design,Construction,SQL,,Civil Engineer,14,35,Remote,Bachelor,Tier 2
320,BBA,Marketing,Analytics,Social Media,HTML/CSS,,Marketing Specialist,3,28,Australia,Master,Tier 3
322,B.Tech,Security,Network,Security,Research,,Security Analyst,4,29,Australia,Bachelor,Tier 2
323,MBA,Sales,CRM,Strategy,Project Management,,Sales Manager,2,22,UK,Bachelor,Tier 1
329,B.Tech,Operations,Operations,Excel,Python,,Operations Manager,5,24,Canada,PhD,Tier 1
330,M.Tech,Electrical,TCP/IP,Networking,SQL,CCNA,Network Engineer,0,24,Remote,Bachelor,Tier 2
331,M.Tech,Data Science,Machine Learning,Statistics,Leadership,Google Cloud,Data Scientist,11,30,Australia,Diploma,Tier 3
333,Ph.D,Data Science,Statistics,SQL,Research,Google Cloud,Data Scientist,10,28,India,Bachelor,Tier 2
335,B.Tech,Mechanical,SolidWorks,Project Mgmt,Project Management,,Mechanical Engineer,4,23,Australia,Master,Tier 2
336,M.Tech,Electrical,Networking,Routers,Data Analysis,CCNA,Network Engineer,9,28,India,Master,Tier 3
342,B.Tech,Civil,AutoCAD,Excel,HTML/CSS,,Civil Engineer,8,26,Australia,Bachelor,Tier 2
344,B.Tech,Operations,ERP,Leadership,Excel,,Operations Manager,9,29,Germany,Master,Tier 2
345,B.Tech,Civil,Excel,Design,Project Management,,Civil Engineer,14,33,Germany,Diploma,Tier 3
346,Ph.D,Data Science,SQL,Machine Learning,Data Analysis,AWS,Data Scientist,11,35,Germany,Bachelor,Tier 3
348,B.Tech,Civil,AutoCAD,Construction,Communication,,Civil Engineer,5,23,USA,Master,Tier 2
350,MBA,Sales,Leadership,Excel,Research,,Sales Manager,11,31,Germany,PhD,Tier 1
351,B.Tech,Operations,ERP,Analytics,Data Analysis,,Operations Manager,4,28,Germany,PhD,Tier 2
354,M.Tech,Data Science,SQL,Hadoop,Leadership,,Data Engineer,12,35,India,Bachelor,Tier 2
359,M.Tech,Electrical,Design,MATLAB,Leadership,,Electrical Engineer,9,27,Australia,Master,Tier 3
361,M.Tech,Management,Communication,Project Management,Research,PMP,Project Manager,4,24,Remote,Bachelor,Tier 2
362,MA,Media,Research,Content Strategy,Project Management,,Content Writer,11,33,Remote,PhD,Tier 1
363,B.Des,Design,Graphic Design,UI/UX,SQL,,UI/UX Designer,2,22,UK,Bachelor,Tier 3
368,B.Sc,Biotech,Data Analysis,Research,Leadership,,Biotech Researcher,3,26,USA,Bachelor,Tier 1
370,Ph.D,Data Science,TensorFlow,Machine Learning,Data Analysis,AWS,Machine Learning Engineer,8,28,Australia,PhD,Tier 2
371,MBA,Data Science,Data Analysis,SQL,Research,Google Cloud,Data Analyst,9,34,Canada,Diploma,Tier 2
373,MBA,Business,Stakeholder Mgmt,UML,Leadership,,Business Analyst,10,35,India,Master,Tier 1
375,MBA,Business,Communication,Excel,Research,,Business Analyst,13,36,Australia,Diploma,Tier 3
376,M.Tech,Civil,Design,AutoCAD,Communication,,Civil Engineer,9,29,Germany,Bachelor,Tier 3
380,MCA,Data Science,Pandas,Data Analysis,Python,,Data Scientist,11,32,USA,Master,Tier 2
381,MBA,Finance,Financial Modeling,SQL,HTML/CSS,,Financial Analyst,3,24,USA,Bachelor,Tier 2
382,B.Com,Finance,Excel,Financial Modeling,Communication,CFA,Financial Analyst,7,26,India,Diploma,Tier 3
385,M.Tech,Computer Science,Azure,Cloud,Project Management,Azure,Cloud Engineer,14,35,UK,Bachelor,Tier 1
389,B.Tech,Security,SIEM,Incident Response,Communication,,Security Analyst,4,25,Australia,Bachelor,Tier 2
390,M.Tech,Management,Project Management,Risk Mgmt,HTML/CSS,PMP,Project Manager,1,24,India,Bachelor,Tier 1
392,M.Tech,Mechanical,CAD,MATLAB,Python,,Mechanical Engineer,8,26,USA,PhD,Tier 2
396,BBA,Sales,CRM,Leadership,Research,,Sales Manager,4,25,Canada,Bachelor,Tier 2
397,MBA,Sales,Excel,Negotiation,Python,,Sales Manager,9,34,UK,Bachelor,Tier 2
399,MCA,Data Science,Statistics,Data Analysis,Project Management,,Data Scientist,11,31,Australia,Bachelor,Tier 2
403,B.Tech,Electrical,MATLAB,PLC,Excel,,Electrical Engineer,3,23,India,Bachelor,Tier 2
404,M.Tech,Electrical,MATLAB,Proteus,HTML/CSS,,Electrical Engineer,13,38,USA,Bachelor,Tier 3
407,B.Tech,Design,UI/UX,Figma,Project Management,,UI/UX Designer,5,30,Canada,Bachelor,Tier 2
408,MBA,HR,Excel,Payroll,Python,,HR Manager,8,32,USA,PhD,Tier 2
409,B.Tech,Business,Stakeholder Mgmt,Data Analysis,Leadership,,Business Analyst,9,28,UK,Master,Tier 3
411,MBA,HR,Excel,Recruitment,HTML/CSS,,HR Manager,8,29,India,Bachelor,Tier 2
412,B.Tech,Security,SIEM,Incident Response,Project Management,CCNA,Security Analyst,12,32,Remote,Master,Tier 2
415,BBA,Business,Excel,Sales,Excel,,Business Development Manager,8,27,India,Master,Tier 2
418,B.Tech,Security,Incident Response,Linux,HTML/CSS,CCNA,Security Analyst,3,27,Remote,Bachelor,Tier 3
419,M.Sc,Biotech,Research,Lab Techniques,HTML/CSS,,Biotech Researcher,5,29,Australia,PhD,Tier 3
420,B.Tech,Mechanical,MATLAB,Design,SQL,,Mechanical Engineer,15,38,USA,Master,Tier 2
422,Ph.D,Data Science,Machine Learning,Statistics,Communication,Google Cloud,Data Scientist,1,22,Germany,Master,Tier 1
423,M.Tech,Security,Linux,Network,Python,,Security Analyst,1,24,Remote,Bachelor,Tier 3
427,B.Tech,Operations,Leadership,ERP,SQL,,Operations Manager,3,24,USA,Master,Tier 2
429,Ph.D,Biotech,PCR,Research,HTML/CSS,,Biotech Researcher,6,26,Canada,Master,Tier 3
430,B.Tech,Chemical,Process Design,MATLAB,Research,,Chemical Engineer,13,35,UK,Diploma,Tier 2
435,M.Tech,Civil,Project Management,Surveying,Data Analysis,,Civil Engineer,5,29,Australia,Bachelor,Tier 3
437,BBA,Sales,Excel,Strategy,SQL,,Sales Manager,7,27,USA,Bachelor,Tier 2
438,B.Tech,Data Science,Python,Tableau,Leadership,Google Cloud,Data Analyst,11,32,Australia,Bachelor,Tier 2
440,MBA,Sales,CRM,Negotiation,SQL,,Sales Manager,2,26,Germany,Bachelor,Tier 2
443,MBA,Business,CRM,Communication,Project Management,,Business Development Manager,6,31,India,Master,Tier 2
444,M.Tech,Data Science,SQL,Python,Leadership,Google Cloud,Data Engineer,1,24,USA,Bachelor,Tier 2
446,BBA,Marketing,Social Media,Marketing,Excel,Google Cloud,Marketing Specialist,0,24,UK,Master,Tier 3
447,MBA,Marketing,Social Media,Excel,HTML/CSS,Google Cloud,Marketing Specialist,2,22,Germany,Bachelor,Tier 1
452,M.Tech,Chemical,Simulation,Excel,Project Management,,Chemical Engineer,4,28,Remote,Bachelor,Tier 1
453,MBA,Business,Data Analysis,Excel,Leadership,,Business Analyst,12,35,USA,Master,Tier 2
455,M.Tech,Data Science,Python,Machine Learning,Research,Google Cloud,Data Scientist,13,35,Germany,Master,Tier 2
457,MBA,Business,Excel,Communication,Research,PMP,Business Analyst,3,22,Remote,Master,Tier 2
458,BBA,HR,Payroll,Leadership,SQL,,HR Manager,0,22,USA,Diploma,Tier 2
462,B.Tech,Electrical,MATLAB,PLC,SQL,,Electrical Engineer,10,35,Canada,Master,Tier 3
463,MCA,Computer Science,Terraform,Cloud,Data Analysis,Azure,Cloud Engineer,7,28,USA,PhD,Tier 2
464,B.Tech,Operations,ERP,Supply Chain,Leadership,,Operations Manager,13,31,UK,Diploma,Tier 3
465,B.Tech,Civil,AutoCAD,Design,Leadership,,Civil Engineer,5,29,Canada,Bachelor,Tier 3
466,Ph.D,Biotech,Research,PCR,Project Management,,Biotech Researcher,12,35,UK,Master,Tier 2
467,B.Tech,Mechanical,MATLAB,SolidWorks,Project Management,,Mechanical Engineer,9,31,USA,Master,Tier 2
468,M.Tech,Data Science,ETL,Spark,Research,Google Cloud,Data Engineer,7,28,Remote,Master,Tier 3
471,M.Tech,Data Science,Machine Learning,PyTorch,Research,AWS,Machine Learning Engineer,2,25,Remote,Bachelor,Tier 2
474,M.Tech,Mechanical,Design,SolidWorks,Data Analysis,,Mechanical Engineer,6,31,USA,Master,Tier 2
475,M.Tech,Data Science,Data Analysis,Python,Excel,,Data Scientist,0,22,USA,PhD,Tier 1
478,B.Tech,Electrical,Circuits,Proteus,Research,,Electrical Engineer,11,30,UK,Bachelor,Tier 3
480,B.Com,Finance,Financial Modeling,Accounting,HTML/CSS,CFA,Financial Analyst,10,29,UK,Bachelor,Tier 1
481,MBA,Data Science,Excel,Python,SQL,,Data Analyst,7,26,India,Bachelor,Tier 3
484,B.Tech,Design,HTML/CSS,UI/UX,Leadership,,UI/UX Designer,8,32,Australia,Master,Tier 2
