S.NO,Degree,Domain,Skill1,Skill2,Skill3,Certification,JobRole,Experience,Age,Location,Education_Level,University_Tier
1841,BBA,Marketing,Social Media,Analytics,SQL,Google Cloud,Marketing Specialist,11,32,Germany,Bachelor,Tier 3
1842,B.Tech,Civil,AutoCAD,Project Management,HTML/CSS,,Civil Engineer,2,25,India,PhD,Tier 1
1843,MCA,Data Science,ETL,SQL,Excel,,Data Engineer,5,26,Remote,Bachelor,Tier 2
1846,MBA,Business,Excel,Communication,Project Management,,Business Development Manager,7,31,India,PhD,Tier 2
1848,BBA,Business,Negotiation,Communication,Excel,,Business Development Manager,4,25,USA,Master,Tier 3
1849,B.Tech,Business,Communication,UML,Communication,PMP,Business Analyst,5,23,India,Master,Tier 2
1850,M.Tech,Management,Project Management,Risk Mgmt,Leadership,PMP,Project Manager,12,33,Australia,Bachelor,Tier 3
1851,MBA,Operations,Supply Chain,Analytics,Research,,Operations Manager,6,30,USA,Master,Tier 2
1854,MBA,Business,SQL,Excel,HTML/CSS,,Business Analyst,2,22,Australia,Bachelor,Tier 3
1855,B.Tech,Operations,Supply Chain,ERP,Project Management,,Supply Chain Manager,4,25,Australia,Bachelor,Tier 3
1861,M.Tech,Security,Linux,SIEM,Communication,,Security Analyst,6,28,Remote,Bachelor,Tier 2
1864,Ph.D,Biotech,Research,Biology,HTML/CSS,,Biotech Researcher,7,31,Germany,Master,Tier 1
1865,MBA,Marketing,Marketing,Excel,Excel,Google Cloud,Marketing Specialist,1,23,Remote,PhD,Tier 2
1866,M.Tech,Mechanical,MATLAB,SolidWorks,Excel,,Mechanical Engineer,1,21,USA,Bachelor,Tier 1
1867,M.Tech,Mechanical,SolidWorks,Thermodynamics,Leadership,,Mechanical Engineer,8,32,Germany,Master,Tier 2
1868,M.Tech,Electrical,MATLAB,Circuits,Project Management,,Electrical Engineer,10,31,Australia,Master,Tier 3
1869,MCA,Data Science,SQL,ETL,Data Analysis,Google Cloud,Data Engineer,7,29,Australia,Bachelor,Tier 2
1870,MCA,Computer Science,Cloud,Terraform,HTML/CSS,Google Cloud,Cloud Engineer,11,31,Remote,Bachelor,Tier 2
1872,Ph.D,Biotech,Research,PCR,SQL,,Biotech Researcher,8,28,UK,Bachelor,Tier 2
1873,B.Com,Business,Communication,Data Analysis,Project Management,PMP,Business Analyst,15,36,Germany,Master,Tier 1
1875,Ph.D,Data Science,Data Analysis,Statistics,Leadership,Google Cloud,Data Scientist,10,33,USA,Master,Tier 2
1876,B.Com,Finance,SQL,Financial Modeling,Research,CFA,Financial Analyst,2,24,Germany,PhD,Tier 3
1878,M.Tech,Data Science,Spark,Hadoop,Project Management,AWS,Data Engineer,12,31,Canada,Bachelor,Tier 1
1881,MBA,Finance,Financial Modeling,Excel,Data Analysis,CFA,Financial Analyst,7,27,USA,Bachelor,Tier 3
1883,B.Com,Finance,Data Analysis,Financial Modeling,Research,,Financial Analyst,10,32,Remote,Bachelor,Tier 3
1884,MBA,HR,Excel,Leadership,Research,,HR Manager,15,38,India,Master,Tier 3
1886,MBA,Design,HTML/CSS,UI/UX,Research,,UI/UX Designer,2,27,UK,Bachelor,Tier 3
1893,BBA,HR,Communication,Recruitment,SQL,,HR Manager,4,27,Australia,Master,Tier 2
1896,BBA,Sales,CRM,Leadership,Excel,,Sales Manager,9,27,Australia,Master,Tier 3
1899,Ph.D,Data Science,SQL,Python,Communication,,Data Scientist,6,31,UK,Master,Tier 2
1900,M.Tech,Electrical,TCP/IP,Networking,HTML/CSS,CCNA,Network Engineer,10,28,Remote,Master,Tier 3
1902,B.Tech,Chemical,MATLAB,Excel,Communication,,Chemical Engineer,12,31,Remote,Master,Tier 3
1903,MBA,Operations,Operations,Excel,Leadership,,Operations Manager,0,25,Germany,Bachelor,Tier 2
1905,M.Sc,Data Science,SQL,Statistics,Communication,Google Cloud,Data Scientist,9,28,Australia,Master,Tier 2
1907,MBA,Management,Leadership,Project Management,Python,PMP,Project Manager,1,26,UK,Bachelor,Tier 1
1908,M.Tech,Electrical,PLC,MATLAB,Python,,Electrical Engineer,4,26,Australia,Bachelor,Tier 3
1911,B.Tech,Security,Linux,Python,SQL,,Security Analyst,4,26,Germany,Master,Tier 1
1914,M.Tech,Electrical,MATLAB,PLC,Data Analysis,,Electrical Engineer,4,28,Australia,Bachelor,Tier 1
1915,MBA,Marketing,Excel,SEO,Project Management,Google Cloud,Marketing Specialist,7,30,Germany,Bachelor,Tier 2
1916,BBA,Marketing,Social Media,Analytics,Research,Google Cloud,Marketing Specialist,5,29,Remote,Master,Tier 3
1921,M.Sc,Biotech,Research,Biology,Data Analysis,,Biotech Researcher,5,29,Germany,PhD,Tier 3
1923,B.Com,Data Science,PowerBI,SQL,Leadership,,Data Analyst,5,29,Remote,Master,Tier 2
1925,B.Tech,Management,Scrum,Facilitation,Communication,Scrum,Scrum Master,3,28,Remote,Bachelor,Tier 2
1926,M.Sc,Data Science,Statistics,Data Analysis,Python,Google Cloud,Data Scientist,3,23,Remote,Bachelor,Tier 1
1928,M.Tech,Data Science,Airflow,Spark,Communication,AWS,Data Engineer,5,24,Canada,Bachelor,Tier 3
1934,B.Tech,Operations,Logistics,Supply Chain,Leadership,,Supply Chain Manager,4,25,Remote,Master,Tier 3
1937,B.Tech,Business,Excel,Communication,HTML/CSS,PMP,Business Analyst,5,29,Germany,Diploma,Tier 2
1942,B.Tech,Electrical,Power Systems,Circuits,Data Analysis,,Electrical Engineer,8,26,Canada,Bachelor,Tier 2
1943,MBA,HR,Labor Laws,Payroll,Communication,,HR Manager,2,24,Australia,Diploma,Tier 3
1945,M.Tech,Mechanical,SolidWorks,Thermodynamics,Python,,Mechanical Engineer,3,25,USA,Bachelor,Tier 1
1946,B.Com,Business,UML,Data Analysis,SQL,,Business Analyst,3,23,Canada,Master,Tier 2
1949,B.Tech,Operations,Operations,Analytics,Communication,,Operations Manager,5,28,Remote,Bachelor,Tier 2
1950,M.Tech,Security,Python,Incident Response,Excel,,Security Analyst,12,34,Canada,Bachelor,Tier 1
1953,B.Tech,Security,SIEM,Linux,Excel,CCNA,Security Analyst,7,30,Australia,Bachelor,Tier 2
1954,M.Sc,Biotech,Lab Techniques,Research,Project Management,,Biotech Researcher,11,33,Canada,Bachelor,Tier 3
1956,M.Tech,Civil,AutoCAD,Design,Leadership,,Civil Engineer,13,32,Remote,Diploma,Tier 1
1960,B.Tech,Business,SQL,Data Analysis,HTML/CSS,PMP,Business Analyst,15,36,Australia,PhD,Tier 3
1961,MBA,Operations,Operations,Analytics,Research,,Operations Manager,3,25,India,Master,Tier 3
1962,B.Tech,Mechanical,Design,SolidWorks,SQL,,Mechanical Engineer,0,24,Australia,Bachelor,Tier 2
1966,B.Tech,Civil,Project Management,Surveying,Leadership,,Civil Engineer,3,24,Australia,Bachelor,Tier 2
1967,M.Tech,Data Science,Data Analysis,Pandas,SQL,,Data Scientist,3,24,UK,Bachelor,Tier 2
1968,M.Tech,Data Science,ETL,Hadoop,HTML/CSS,Google Cloud,Data Engineer,0,25,Germany,Bachelor,Tier 2
1969,BBA,HR,Leadership,Communication,SQL,,HR Manager,1,24,Canada,Master,Tier 1
1976,BA,Media,Content Strategy,Communication,SQL,,Content Writer,14,38,Remote,Bachelor,Tier 1
1978,B.Tech,Electrical,Networking,Routers,Leadership,CCNA,Network Engineer,3,23,UK,Diploma,Tier 2
1980,MBA,Business,SQL,Data Analysis,Leadership,PMP,Business Analyst,8,26,Germany,Bachelor,Tier 2
1983,M.Tech,Data Science,Python,Hadoop,Data Analysis,,Data Engineer,4,24,UK,Bachelor,Tier 3
1985,MCA,Data Science,Statistics,Machine Learning,SQL,AWS,Data Scientist,0,24,Germany,Bachelor,Tier 2
1987,B.Tech,Security,SIEM,Incident Response,SQL,,Security Analyst,7,28,Remote,Bachelor,Tier 2
1988,B.Tech,Chemical,Simulation,Safety,Excel,,Chemical Engineer,7,30,USA,Bachelor,Tier 3
1989,Ph.D,Biotech,Data Analysis,Lab Techniques,Project Management,,Biotech Researcher,3,27,Australia,Bachelor,Tier 1
1992,B.Tech,Operations,Analytics,Supply Chain,Python,,Operations Manager,1,24,Germany,Bachelor,Tier 3
1993,B.Tech,Mechanical,Thermodynamics,SolidWorks,HTML/CSS,,Mechanical Engineer,7,27,UK,Bachelor,Tier 1
1995,B.Tech,Electrical,Power Systems,PLC,Research,,Electrical Engineer,8,30,Australia,Bachelor,Tier 2
1997,B.Tech,Civil,AutoCAD,Project Management,SQL,,Civil Engineer,10,29,UK,Bachelor,Tier 3
2001,M.Tech,Chemical,Simulation,Excel,Data Analysis,,Chemical Engineer,11,29,Australia,Bachelor,Tier 2
2002,M.Sc,Data Science,SQL,Data Analysis,Project Management,AWS,Data Scientist,2,22,USA,Master,Tier 2
2003,MCA,Data Science,Airflow,ETL,SQL,Google Cloud,Data Engineer,1,25,Australia,Master,Tier 1
2006,MBA,Sales,Leadership,Communication,Excel,,Sales Manager,1,22,USA,Bachelor,Tier 3
2007,B.Tech,Electrical,Power Systems,PLC,Excel,,Electrical Engineer,11,31,Germany,Master,Tier 1
2009,M.Tech,Management,Project Management,Leadership,Data Analysis,Scrum,Project Manager,0,22,Canada,Bachelor,Tier 3
2011,MBA,Sales,Strategy,Excel,SQL,,Sales Manager,6,30,Germany,Master,Tier 3
2013,B.Tech,Data Science,Excel,Data Analysis,Leadership,Google Cloud,Data Analyst,12,33,Canada,Bachelor,Tier 1
2014,BBA,Sales,Excel,Strategy,HTML/CSS,,Sales Manager,5,26,Canada,Master,Tier 3
2018,MBA,Business,Communication,Strategy,HTML/CSS,,Business Development Manager,4,25,USA,Bachelor,Tier 3
2020,B.Tech,Mechanical,CAD,Design,Excel,,Mechanical Engineer,11,31,India,PhD,Tier 3
2021,B.Tech,Chemical,Excel,Chemistry,Python,,Chemical Engineer,8,27,Germany,Master,Tier 2
2024,B.Sc,Biotech,PCR,Data Analysis,SQL,,Biotech Researcher,3,27,Australia,Master,Tier 3
2026,MBA,Business,Excel,CRM,Data Analysis,,Business Development Manager,8,28,Canada,Master,Tier 3
2029,MCA,Data Science,Hadoop,Spark,Data Analysis,AWS,Data Engineer,5,25,USA,Bachelor,Tier 3
2034,M.Tech,Chemical,Simulation,Chemistry,Excel,,Chemical Engineer,0,25,India,Bachelor,Tier 1
2037,MBA,Business,Excel,CRM,Data Analysis,,Business Development Manager,3,26,Australia,Master,Tier 3
2040,M.Tech,Civil,Project Management,Surveying,Communication,,Civil Engineer,1,25,Australia,Bachelor,Tier 2
2041,B.Tech,Security,Incident Response,Linux,Data Analysis,CCNA,Security Analyst,0,21,India,Bachelor,Tier 1
2043,M.Tech,Security,Network,Incident Response,Excel,CCNA,Security Analyst,13,33,USA,Bachelor,Tier 2
2044,BBA,HR,Leadership,Recruitment,HTML/CSS,,HR Manager,12,37,Australia,Master,Tier 1
2047,B.Tech,Chemical,Simulation,Safety,SQL,,Chemical Engineer,2,22,Canada,Bachelor,Tier 2
2049,Ph.D,Data Science,Machine Learning,Python,Communication,AWS,Machine Learning Engineer,9,34,Remote,Bachelor,Tier 3
2051,M.Tech,Mechanical,Thermodynamics,CAD,SQL,,Mechanical Engineer,2,22,Remote,PhD,Tier 1
2052,B.Tech,Security,SIEM,Linux,Leadership,,Security Analyst,4,25,USA,Bachelor,Tier 3
2054,M.Tech,Security,Python,Network,Excel,,Security Analyst,8,27,India,Bachelor,Tier 1
2055,MBA,Marketing,Social Media,Marketing,SQL,Google Cloud,Marketing Specialist,12,32,UK,Bachelor,Tier 2
2060,MBA,Marketing,Analytics,Marketing,Excel,Google Cloud,Marketing Specialist,7,25,USA,Bachelor,Tier 2
2062,M.Tech,Security,Network,SIEM,Data Analysis,CCNA,Security Analyst,3,22,UK,Bachelor,Tier 3
2063,M.Sc,Biotech,Biology,Research,Leadership,,Biotech Researcher,4,25,Germany,Bachelor,Tier 3
2065,MBA,Operations,ERP,Excel,Communication,,Operations Manager,4,23,Australia,Master,Tier 2
2066,MBA,Finance,Financial Modeling,Accounting,Excel,CFA,Financial Analyst,0,24,UK,Diploma,Tier 1
2067,M.Tech,Mechanical,Design,Thermodynamics,SQL,,Mechanical Engineer,2,25,Remote,Bachelor,Tier 1
2068,M.Tech,Data Science,SQL,Machine Learning,Python,,Data Scientist,4,25,USA,Diploma,Tier 1
2070,M.Sc,Data Science,ML Ops,Machine Learning,Data Analysis,AWS,Machine Learning Engineer,9,32,Germany,Master,Tier 2
2072,B.Com,Business,Excel,Communication,SQL,PMP,Business Analyst,1,25,Remote,Bachelor,Tier 1
2073,B.Tech,Chemical,Simulation,Excel,HTML/CSS,,Chemical Engineer,12,33,Australia,PhD,Tier 2
2074,B.Tech,Management,Agile,Scrum,Project Management,PMP,Scrum Master,8,33,UK,Master,Tier 2
2076,M.Tech,Electrical,MATLAB,PLC,Leadership,,Electrical Engineer,4,28,USA,Bachelor,Tier 1
2078,B.Tech,Mechanical,Design,MATLAB,HTML/CSS,,Mechanical Engineer,2,27,Germany,Bachelor,Tier 2
2082,M.Tech,Civil,Construction,Surveying,Excel,,Civil Engineer,2,23,Canada,Diploma,Tier 3
2084,M.Tech,Data Science,Machine Learning,Pandas,Leadership,AWS,Data Scientist,2,26,Canada,Diploma,Tier 3
2086,M.Sc,Data Science,SQL,Statistics,Data Analysis,AWS,Data Scientist,0,23,Remote,Bachelor,Tier 2
2090,B.Tech,Security,Python,Incident Response,Research,CCNA,Security Analyst,12,34,Canada,Master,Tier 1
2091,B.Tech,Mechanical,Thermodynamics,MATLAB,Python,,Mechanical Engineer,5,25,Australia,Bachelor,Tier 3
2096,B.Tech,Data Science,Hadoop,ETL,Research,,Data Engineer,6,25,USA,Bachelor,Tier 3
2097,B.Tech,Security,Linux,Incident Response,Communication,CCNA,Security Analyst,3,28,India,Bachelor,Tier 3
2112,MBA,Finance,Financial Modeling,SQL,Research,,Financial Analyst,10,35,Germany,Bachelor,Tier 3
2117,M.Tech,Data Science,SQL,Statistics,Research,AWS,Data Scientist,13,31,UK,Master,Tier 1
2119,B.Tech,Mechanical,MATLAB,Thermodynamics,Excel,,Mechanical Engineer,14,34,Canada,Bachelor,Tier 3
2121,MCA,Data Science,Spark,Airflow,Python,Google Cloud,Data Engineer,9,27,USA,Bachelor,Tier 2
2122,BBA,Sales,Leadership,Negotiation,Data Analysis,,Sales Manager,15,36,Australia,Master,Tier 3
2125,M.Tech,Security,Security,Network,SQL,,Security Analyst,10,31,India,Bachelor,Tier 2
2134,B.Tech,Operations,Leadership,Supply Chain,Python,,Operations Manager,13,35,Remote,Bachelor,Tier 3
2135,Ph.D,Data Science,Statistics,Data Analysis,Project Management,,Data Scientist,14,34,UK,Bachelor,Tier 2
2136,B.Tech,Operations,Leadership,Operations,Python,,Operations Manager,13,33,UK,Master,Tier 2
2143,Ph.D,Biotech,Data Analysis,Research,HTML/CSS,,Biotech Researcher,11,33,Germany,PhD,Tier 2
2146,MCA,Data Science,Statistics,Data Analysis,Research,Google Cloud,Data Scientist,13,37,USA,Diploma,Tier 3
2148,BBA,Marketing,Marketing,Analytics,Python,Google Cloud,Marketing Specialist,10,31,USA,PhD,Tier 3
2149,B.Tech,Civil,Design,Surveying,Leadership,,Civil Engineer,7,32,Germany,Bachelor,Tier 2
2152,B.Tech,Security,Security,Incident Response,Excel,,Security Analyst,3,27,Remote,Bachelor,Tier 1
2153,B.Com,Data Science,Data Analysis,Excel,Project Management,,Data Analyst,12,37,UK,Master,Tier 1
2157,MBA,Management,Communication,Scrum,HTML/CSS,PMP,Scrum Master,14,38,Australia,Master,Tier 1
2159,MBA,HR,Communication,Excel,Communication,,HR Manager,12,31,Australia,Diploma,Tier 1
2160,B.Tech,Civil,Construction,Design,Python,,Civil Engineer,4,28,India,Master,Tier 2
2162,M.Tech,Mechanical,Project Mgmt,Design,Research,,Mechanical Engineer,4,25,UK,Master,Tier 1
2163,B.Tech,Electrical,Design,PLC,Communication,,Electrical Engineer,15,33,Remote,Bachelor,Tier 1
2165,B.Tech,Mechanical,Design,CAD,Python,,Mechanical Engineer,6,30,Germany,Master,Tier 2
2168,B.Tech,Chemical,Simulation,Safety,Data Analysis,,Chemical Engineer,0,22,Canada,Master,Tier 3
2169,B.Sc,Biotech,Biology,PCR,Excel,,Biotech Researcher,6,24,Canada,Diploma,Tier 2
2172,B.Tech,Electrical,MATLAB,Proteus,Project Management,,Electrical Engineer,4,25,UK,Bachelor,Tier 3
2176,MCA,Data Science,SQL,Pandas,Project Management,AWS,Data Scientist,8,31,India,Bachelor,Tier 3
2178,MBA,Management,PMP Skills,Communication,Project Management,PMP,Project Manager,13,34,Germany,Bachelor,Tier 2
2181,M.Tech,Data Science,ETL,Airflow,Excel,Google Cloud,Data Engineer,1,25,UK,Bachelor,Tier 2
2184,M.Sc,Biotech,Documentation,Biology,Project Management,,Biotech Researcher,11,31,USA,Master,Tier 1
2187,BBA,Business,Communication,Excel,Project Management,,Business Development Manager,6,27,India,Bachelor,Tier 3
2188,Ph.D,Data Science,Machine Learning,Pandas,Data Analysis,,Data Scientist,2,26,Australia,Bachelor,Tier 3
2189,BBA,Sales,Negotiation,Communication,Project Management,,Sales Manager,10,31,USA,Bachelor,Tier 3
2191,MBA,Sales,CRM,Communication,HTML/CSS,,Sales Manager,5,28,Canada,Bachelor,Tier 2
2194,M.Sc,Data Science,Machine Learning,SQL,Leadership,,Machine Learning Engineer,1,25,Canada,Diploma,Tier 2
2196,BBA,Marketing,Communication,Social Media,HTML/CSS,,Marketing Specialist,9,29,UK,Master,Tier 2
2200,B.Tech,Civil,Project Management,Design,Research,,Civil Engineer,0,22,India,PhD,Tier 3
2204,MCA,Data Science,Python,SQL,Communication,Google Cloud,Data Engineer,8,30,Australia,Master,Tier 3
2205,M.Tech,Civil,AutoCAD,Surveying,Leadership,,Civil Engineer,8,27,USA,Bachelor,Tier 1
2206,B.Com,Marketing,Communication,Excel,Data Analysis,,Marketing Specialist,10,28,Remote,Bachelor,Tier 3
2210,MBA,Operations,Operations,Supply Chain,Python,,Operations Manager,2,24,Canada,Master,Tier 2
2211,B.Tech,Chemical,Safety,Chemistry,Leadership,,Chemical Engineer,6,25,India,PhD,Tier 1
2216,B.Tech,Management,Facilitation,Scrum,Leadership,PMP,Scrum Master,14,37,Canada,Bachelor,Tier 2
2218,MCA,Computer Science,Cloud,Python,Leadership,Google Cloud,Cloud Engineer,3,23,Germany,Master,Tier 3
2220,BBA,HR,Payroll,Leadership,Research,,HR Manager,14,33,UK,Bachelor,Tier 2
2223,MBA,Marketing,Social Media,SEO,Leadership,,Marketing Specialist,12,33,USA,Bachelor,Tier 2
2224,B.Tech,Security,Network,Linux,HTML/CSS,,Security Analyst,8,33,Canada,Bachelor,Tier 2
2225,MBA,Sales,Excel,CRM,Python,,Sales Manager,1,26,USA,PhD,Tier 2
2226,M.Tech,Chemical,Excel,Process Design,Python,,Chemical Engineer,1,21,Canada,Bachelor,Tier 1
2228,BBA,Sales,Excel,Communication,Python,,Sales Manager,12,33,Germany,Bachelor,Tier 3
2229,M.Sc,Data Science,Python,Data Analysis,SQL,AWS,Data Scientist,8,32,USA,Bachelor,Tier 2
2230,B.Tech,Electrical,Networking,CCNA,Leadership,CCNA,Network Engineer,9,34,UK,Master,Tier 1
2231,B.Tech,Operations,Operations,ERP,SQL,,Operations Manager,15,39,UK,Master,Tier 2
2234,MBA,Management,Project Management,Leadership,HTML/CSS,Scrum,Project Manager,0,22,UK,Master,Tier 1
2235,M.Tech,Mechanical,MATLAB,CAD,Leadership,,Mechanical Engineer,0,25,UK,PhD,Tier 2
2238,BBA,Business,Communication,CRM,Data Analysis,,Business Development Manager,3,22,UK,Master,Tier 2
2241,B.Tech,Security,Network,Python,Project Management,,Security Analyst,9,30,Canada,Master,Tier 3
2243,M.Tech,Electrical,Networking,TCP/IP,Data Analysis,CCNA,Network Engineer,0,22,Germany,Master,Tier 2
2244,M.Tech,Security,Security,SIEM,Leadership,,Security Analyst,4,25,Germany,Diploma,Tier 2
2248,MBA,HR,Labor Laws,Payroll,SQL,,HR Manager,10,32,Canada,Bachelor,Tier 3
2249,BBA,Sales,Strategy,Communication,SQL,,Sales Manager,9,28,India,Bachelor,Tier 3
2250,B.Tech,Civil,Construction,Surveying,Python,,Civil Engineer,3,25,Remote,Bachelor,Tier 3
2254,BBA,HR,Communication,Recruitment,Excel,,HR Manager,0,24,India,Bachelor,Tier 3
2256,MBA,Operations,Logistics,Supply Chain,SQL,,Supply Chain Manager,0,21,UK,Bachelor,Tier 3
2258,M.Sc,Biotech,Biology,Documentation,Research,,Biotech Researcher,6,30,Canada,PhD,Tier 2
2262,MBA,Management,Scrum,Facilitation,Excel,PMP,Scrum Master,10,35,USA,Master,Tier 1
2266,M.Tech,Electrical,Design,MATLAB,Data Analysis,,Electrical Engineer,11,33,UK,Bachelor,Tier 2
2271,BBA,HR,Communication,Recruitment,Leadership,,HR Manager,0,24,Remote,Master,Tier 2
2272,BBA,Business,Strategy,Sales,Excel,,Business Development Manager,1,21,India,Bachelor,Tier 3
2273,MBA,Management,Project Management,Excel,Communication,PMP,Project Manager,3,24,Canada,Diploma,Tier 2
2277,B.Tech,Civil,Excel,Design,Communication,,Civil Engineer,4,25,Australia,Bachelor,Tier 3
2278,M.Tech,Security,Network,Linux,Communication,,Security Analyst,0,24,Canada,Master,Tier 1
2283,B.Com,Finance,Excel,Financial Modeling,HTML/CSS,,Financial Analyst,8,32,Remote,Master,Tier 1
2285,MCA,Data Science,Statistics,Python,Research,Google Cloud,Data Scientist,7,26,Canada,Master,Tier 2
2287,M.Tech,Electrical,Circuits,Proteus,SQL,,Electrical Engineer,15,33,Australia,Bachelor,Tier 2
2288,B.Tech,Management,Scrum,Facilitation,Python,Scrum,Scrum Master,3,25,Germany,Master,Tier 1
2292,MBA,HR,Labor Laws,Excel,HTML/CSS,,HR Manager,14,32,India,PhD,Tier 2
2297,B.Tech,Electrical,PLC,MATLAB,Leadership,,Electrical Engineer,12,34,Canada,Master,Tier 2
2299,M.Tech,Chemical,Excel,Chemistry,Research,,Chemical Engineer,11,35,Canada,Master,Tier 1
2301,MBA,Business,Stakeholder Mgmt,UML,HTML/CSS,PMP,Business Analyst,15,33,Remote,Bachelor,Tier 3
2305,BBA,Sales,Negotiation,Excel,SQL,,Sales Manager,0,22,UK,Bachelor,Tier 2
